Country,iso3,cov,agevac,vac_price,vac_delivery,vac_delivery2,cecx_cost,dw_dx,dw_seq,dw_term,hpv1618_prop,disc.cost ,disc.ben
Afghanistan,AFG,100,10,2.9,5.257072661,5.38891541,748.8212486,0.288,0.049,0.54,71.6,3,3
Angola,AGO,100,10,2.9,5.257072661,5.38891541,885.9170453,0.288,0.049,0.54,70.3,3,3
Armenia,ARM,100,10,2.9,5.257072661,5.38891541,679.7802875,0.288,0.049,0.54,77.5,3,3
Azerbaijan,AZE,100,10,2.9,5.257072661,5.38891541,732.2866795,0.288,0.049,0.54,77.5,3,3
Bangladesh,BGD,100,10,2.9,5.257072661,5.38891541,726.2622047,0.288,0.049,0.54,71.6,3,3
Benin,BEN,100,10,2.9,5.257072661,5.38891541,585.4564287,0.288,0.049,0.54,70.3,3,3
Bhutan,BTN,100,10,2.9,5.257072661,5.38891541,699.427072,0.288,0.049,0.54,71.6,3,3
Bolivia (Plurinational State of),BOL,100,10,2.9,5.257072661,5.38891541,631.5572535,0.288,0.049,0.54,69.4,3,3
Burkina Faso,BFA,100,10,2.9,5.257072661,5.38891541,555.1658339,0.288,0.049,0.54,70.3,3,3
Burundi,BDI,100,10,2.9,5.257072661,5.38891541,979.0418826,0.288,0.049,0.54,70.3,3,3
Cambodia,KHM,100,10,2.9,5.257072661,5.38891541,741.0678874,0.288,0.049,0.54,71.6,3,3
Cameroon,CMR,100,10,2.9,5.257072661,5.38891541,591.8373901,0.288,0.049,0.54,70.3,3,3
Central African Republic,CAF,100,10,2.9,5.257072661,5.38891541,794.5028125,0.288,0.049,0.54,70.3,3,3
Chad,TCD,100,10,2.9,5.257072661,5.38891541,468.8401482,0.288,0.049,0.54,70.3,3,3
Comoros,COM,100,10,2.9,5.257072661,5.38891541,594.22394,0.288,0.049,0.54,70.3,3,3
Congo,COG,100,10,2.9,5.257072661,5.38891541,370.4905962,0.288,0.049,0.54,70.3,3,3
Democratic Republic of the Congo,COD,100,10,2.9,5.257072661,5.38891541,886.8641344,0.288,0.049,0.54,70.3,3,3
Cote d'Ivoire,CIV,100,10,2.9,5.257072661,5.38891541,614.9162678,0.288,0.049,0.54,70.3,3,3
Cuba,CUB,100,10,2.9,5.257072661,5.38891541,2232.788842,0.288,0.049,0.54,68.2,3,3
Djibouti,DJI,100,10,2.9,5.257072661,5.38891541,621.119211,0.288,0.049,0.54,70.3,3,3
Eritrea,ERI,100,10,2.9,5.257072661,5.38891541,551.9032414,0.288,0.049,0.54,70.3,3,3
Ethiopia,ETH,100,10,2.9,5.257072661,5.38891541,1116.325671,0.288,0.049,0.54,70.3,3,3
